text;grand_truth;calculated;dif;found phrases;out of
Says the Annies List political group supports third-trimester abortions on demand;0;0.2747352432142167;-0.2747352432142167;4;10
When did the decline of coal start? It started when natural gas took off that started to begin in President George W. Bushs administration;0.5;0.34593495363202986;0.15406504636797014;12;23
Hillary Clinton agrees with John McCain by voting to give George Bush the benefit of the doubt on Iran;0.75;0.44509105890742884;0.30490894109257116;14;18
Health care reform legislation is likely to mandate free sex change surgeries;0;0.32596549615936377;-0.32596549615936377;6;11
The economic turnaround started at the end of my term;0.5;1.0;-0.5;6;9
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured UW faculty fired during the last two decades;1;0.4636299320840379;0.5363700679159621;16;26
Jim Dunnam has not lived in the district he represents for years now;0.25;0.32596549615936377;-0.07596549615936377;6;12
Im the only person on this stage who has worked actively just last year passing along with Russ Feingold some of the toughest ethics reform since Watergate;0.5;0.41990834657265896;0.08009165342734104;17;26
However it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific;0.5;0.4408308244300785;0.05916917556992152;7;22
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs;0.75;0.3585871621304779;0.3914128378695221;7;20
For the first time in history the share of the national popular vote margin is smaller than the Latino vote margin;0.75;0.49045322282549975;0.25954677717450025;16;20
Since 2000 nearly 12 million Americans have slipped out of the middle class and into poverty;0.5;0.4067815332123885;0.09321846678761148;10;15
When Mitt Romney was governor of Massachusetts we didnt just slow the rate of growth of our government we actually cut it;0;0.3869740778683729;-0.3869740778683729;16;21
The economy bled $24 billion due to the government shutdown;0.75;0.4866828820923583;0.2633171179076417;6;9
Most of the Affordable Care Act has already in some sense been waived or otherwise suspended;0.25;0.4026601695954446;-0.1526601695954446;10;15
In this last election in November 63 percent of the American people chose not to vote 80 percent of young people and 75 percent of low-income workers chose not to vote;0.5;0.48726191912413164;0.012738080875868363;23;30
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote disgraceful;1;0.3294361769923623;0.6705638230076377;9;18
U.S. Rep. Ron Kind D-Wis. and his fellow Democrats went on a spending spree and now their credit card is maxed ou;0.25;0.10499015573872461;0.1450098442612754;16;21
Water rates in Manila Philippines were raised up to 845 percent when a subsidiary of the World Bank became a partial owner;0.5;0.5774544216093989;-0.07745442160939886;8;21
Almost 100000 people left Puerto Rico last year;0.75;1.0;-0.25;3;7
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor;0;0.4031667278048332;-0.4031667278048332;10;19
The United States has the highest corporate tax rate in the free world;0.75;0.48190006882439496;0.26809993117560504;12;12
We just had the best year for the auto industry in America in history;0.75;0.5379449353895124;0.21205506461048762;12;13
Says Scott Walker favors cutting up to 350000 families and children off health care;0.5;0.45557001463231095;0.04442998536768905;7;13
Says Mitt Romney wants to get rid of Planned Parenthood;0.25;0.46360181948185053;-0.21360181948185053;9;9
I dont know who Jonathan Gruber is;0;0.17636537672864971;-0.17636537672864971;3;6
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino;0.75;0.12667133278055587;0.6233286672194441;6;13
Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections;0.5;0.42703505988474855;0.07296494011525145;16;22
ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga Tenn;0;-1;1.0;0;13
Youth unemployment in minority communities is about 40 to 45 percent;0.75;0.5088774829720237;0.24112251702797627;7;10
Says Paul Ryan is still endorsing Trump;1;0.32802929777521894;0.6719707022247811;4;6
If you look at states that are right to work they constantly do not have budget deficits and they have very good business climates;0.25;0.4458907623005052;-0.19589076230050517;15;23
What the Obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants;0;0.3222493318000612;-0.3222493318000612;21;31
We cut business taxes so today 70 percent of our businesses dont pay a business tax;0.75;0.5190950351367343;0.23090496486326573;10;15
Says Mark Pryor votes with Obama 93 percent of the time;0.75;0.4762051691220741;0.2737948308779259;8;10
We have a federal government that thinks they have the authority to regulate our toilet seats;1;0.45774670008848883;0.5422532999115112;11;15
Austin is a city that has basically doubled in size every 25 years or so since it was founded;1;0.48022385953287894;0.5197761404671211;11;18
The nuclear test conducted in our nation this time is the Earths 2054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests;1;0.45585319048686446;0.5441468095131355;16;32
In the case of a catastrophic event the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct;0;0.500559264232701;-0.500559264232701;11;19
Under President George W. Bush we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt;1;0.4592471751315922;0.5407528248684078;20;21
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law;0;0.34687884568461724;-0.34687884568461724;10;18
Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS;0.5;0.2879134535838499;0.2120865464161501;6;15
Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra the failed solar compan;0;0.23663948024462012;-0.23663948024462012;8;15
Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe;0;0.40541627079946685;-0.40541627079946685;13;22
We have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes man-made disaster;0;0.3287357868894647;-0.3287357868894647;13;22
African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent;0.5;0.42691290170567964;0.07308709829432036;6;11
Obamacare will provide insurance to all non-U.S. residents even if they are here illegally;0;0.35334953211189435;-0.35334953211189435;9;13
President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one;0;0.32596549615936377;-0.32596549615936377;8;14
It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost Capt. Humayun Khans life;0;0.27453378953784724;-0.27453378953784724;13;20
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners;1;0.3623439540244894;0.6376560459755106;6;10
Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the countr;0.25;0.43739390878111584;-0.18739390878111584;13;20
Maggie Hassan raised tuition making it the highest in America;0.25;0.4838758157139337;-0.23387581571393368;6;9
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom;0;0.1720121632465864;-0.1720121632465864;8;15
